Überschrift;Text
Tageshoroskop;Kosmische Balance my ass – heute kippt alles: dein Kreislauf, dein Kaffee, und der Blutdruck vom Patienten sowieso.
Tageshoroskop;Pluto funkt dazwischen. Macht  euch  auf eine epische Diskussion mit der Leitstelle gefasst.
Tageshoroskop;Heute werdet ihr Zeuge eines medizinischen Wunders: Der Patient ist plötzlich geheilt, sobald du eintriffst.
Tageshoroskop;Der Jupiter expandiert – genau wie der Wartebereich der ZNA. Heute verbringt ihr mehr Zeit in der Triage wie in der Patientenwohnung.
Tageshoroskop;Uranus ist aktiv – was bedeutet: der nächste Patient hat was 'da unten' stecken. Und nein, ihr wollt  nicht wissen was.
Tageshoroskop;Neptun bringt Emotionen. Leider nur in Form von Erbrochenem. 
Motivation;Lasst euch nicht unterkriegen – selbst wenn das EKG  wieder entscheidet, Papier zu fressen.
Tageshoroskop;Heute steht der Mars im Zeichen des „Dolce far niente“ – also des süßen Nichtstuns. Eile ist was für Leute ohne Stil.
Tageshoroskop;Die Sterne raten: Lass dich nicht hetzen – du bist nicht langsam, du bist genussorientiert effizient
Tageshoroskop;Heute ist euer Tag! Zumindest bis der Melder geht.
Tageshoroskop;Mars und Merkur streiten sich um eure Motivation.
Tageshoroskop;Heute steht alles im Zeichen der Kommunikation – leider einseitig. Euer Horoskop: Atmet tief durch. Es hört vielleicht keiner zu, aber ihr klingt professionell dabei.
Tageshoroskop;Ein seltener kosmischer Zufall: Ihr seit fast fertig mit der Übergabe, der Arzt hört tatsächlich zu – Genießt den Moment. Er passiert nur alle 387 Jahre.
Spruch des Tages;Ein guter Tag, um den Kollegen daran zu erinnern, dass 'gleich zurück' relativ ist.
Tageshoroskop;Heute kämpft ihr  gegen das Unvermeidliche – die heilige Dreifaltigkeit: Iso-Patient,  rot gemeldet,  kurz vor Feierabend.
Tageshoroskop;Der Mond steht im Blaulicht. Bereite dich auf Einsätze mit fragwürdiger Dringlichkeit vor.
Tageshoroskop;Heute wirst du das Funkgerät hassen. Es schweigt, solange du bereit bist – und piepst, sobald du auf Toilette gehst.
Tageshoroskop;RescueTrack heute frei. Folgt einfach eurer Intuition.
Tageshoroskop;Heute misst  der RS dreimal – und bekommt vier verschiedene Werte. Der Kosmos sagt: nehmt den schönsten.
Tageshoroskop;Heute steht alles im Zeichen des Kaffees. Ohne ihn läuft gar nichts.
Tageshoroskop;Ihr strahlt heute Zuversicht aus – vermutlich, weil ihr  von Koffein durchflutet seit.
Tageshoroskop;Heute läuft alles rund: gute Stimmung, ruhige Einsätze, Kaffee heiß. Genießt es – das Universum gleicht das morgen wieder aus.
Tageshoroskop;hr habt heute alles im Griff. Naja, fast. Zumindest sieht’s von außen so aus. Und das zählt.
Tageshoroskop;Die Sterne sagen: Ihr habt heute viele Pläne – und werdet sie souverän ignorieren.
Tageshoroskop;Venus im Funkloch: Kommunikation mit dem Team könnte heute kreative Wege gehen.
Tageshoroskop;Heute ist die Energie niedrig. Ideal, um so zu tun, als würdet ihr die Tagesaufgaben machen.
Tageshoroskop;Heute ist dein Tag! Zumindest bis zum Schichtbegin
Tageshoroskop;Heute steht alles im Zeichen der Snacks. Ihr teilt Kekse, Chips und schlechte Entscheidungen. Teamspirit schmeckt nach Salz und Zucker.
Tageshoroskop;Heute ist euer Fokus klar: Der Feierabend leuchtet hell am Horizont. Haltet durch, der Kosmos applaudiere euch innerlich schon jetzt.
Tageshoroskop;Heute ruft jemand genau dann an, wenn ihr gerade essen wollt. Die Sterne empfehlen: Lautlos-Modus und gute Ausreden.
Tageshoroskop;Heute klappt nicht alles – aber ihr meistert es mit Humor, Witz und einer Prise Improvisation.
Tageshoroskop;Heute zeigt ihr, was wahre Teamarbeit ist: Alle machen irgendwas, keiner weiß genau was – und trotzdem klappt’s irgendwie.
Tageshoroskop;Heute hat euer Team den Rhythmus des Lebens. Leider nicht den richtigen Takt. Macht nix – Hauptsache Bewegung!
Tageshoroskop;Euer Navigationssinn ist heute kollektiv im Urlaub. Die Sterne sagen: Genießt das Verlaufen – ihr findet eh was Besseres.
Tageshoroskop;Ihr habt heute keine Energie – und das ist völlig okay. Zusammen faul sein ist Teamarbeit auf höchstem Niveau.
Spruch des Tages;Ein grauer Magier sagte mal: das verkeilen der Brandschutztüren kostet 15.000€!
Tageshoroskop;Ein kleiner Moment macht euch heute den Tag: ein Lächeln, ein Witz, eine Geste. Achtet drauf – das Universum schickt Zeichen.
Tageshoroskop;Heute ist nichts unmöglich. Außer pünktlich Feierabend.
Tageshoroskop;Was ihr heute anpackt, gelingt. Ihr seid konzentriert, stark und gut drauf. Zusammen unschlagbar!
Tageshoroskop;Heute schenkt euch das Leben Sonne, Wind und frische Luft. Atmet tief durch – ihr seid genau da, wo ihr sein sollt.
Tageshoroskop;Heute bringt euch nichts aus der Ruhe. Nicht mal die Leitstelle selbst
Tageshoroskop;Heute läuft’s rund. Alles fügt sich, alles klappt. Genießt das Gefühl – ihr habt’s euch verdient.
Tageshoroskop;Ihr habt einen Plan. Großartig! Das Universum hat allerdings beschlossen, heute einfach freestyle zu laufen. Viel Erfolg damit.
Tageshoroskop;Heute brennt nichts – außer eure Geduld. Und die war eh überbewertet.
Tageshoroskop;Ihr redet, sie hören nicht. Sie reden, ihr versteht’s nicht. Perfekte Symbiose.
Tageshoroskop;Heute wird alles erst schlimm, bevor es besser wird – oder einfach anders schlimm.
Tageshoroskop;Euer Energielevel hängt heute komplett vom Süßigkeitenvorrat ab. Wenn der leer ist – sucht Hilfe.
Tageshoroskop;Heute bleibt ihr cool. Nicht, weil ihr gelassen seid – sondern weil ihr innerlich schon längst aufgegeben habt.
Tageshoroskop;Alles klappt heute nur halb – aber das ist immerhin 50 % mehr als erwartet.
Tageshoroskop;Heute gönnt ihr euch was, obwohl ihr’s nicht wirklich verdient habt. Aber ehrlich: Wer will das schon beurteilen?
Fakt des Tages;Fingernägel wachsen schneller als Zehennägel
Fakt des Tages;In Japan gibt es eine Notrufnummer 7119, nur für „Ich bin mir nicht sicher, ob es ein Notfall ist“-Fälle
Fakt des Tages;Paramedics in Australien dürfen offiziell Schlangen festhalten, wenn sie den Rettungseinsatz behindern
Fakt des Tages;Ein Notarzt in Schweden musste einmal einen Patienten behandeln, der versehentlich eine Glühbirne inhaliert hatte.
Fakt des Tages;Der erste Herzschrittmacher wurde mit einer Autobatterie betrieben
Fakt des Tages;Menschen teilen rund 60 % ihrer DNA mit Bananen. 
Fakt des Tages;Die Wahrscheinlichkeit, von einer fallenden Kokosnuss getroffen zu werden, ist höher als die eines Haiangriffs.
Fakt des Tages;Manche Schildkröten atmen durch den After.
Fakt des Tages;Kängurus können nicht rückwärts springen.
Fakt des Tages;Das längste deutsche Wort im Duden war einmal „Rindfleischetikettierungsüberwachungsaufgabenübertragungsgesetz“.
Fakt des Tages;Elefanten können nicht springen.
